1ACB, 5CHA, 1CSE
1AVW, 2PTN, 1BA7
1BRC, 1BRA, 1AAP
1BRS, 1A2P, 1A19
1CGI, 1CHG, 1HPT
1CHO, 5CHA, 2OVO
1CSE, 1SCD, 1ACB
1DFJ, 2BNH, 7RSA
1FSS, 2ACE, 1FSC
1MAH, 1MAA, 1FSC
1PPE, 2PTN, 1PPE
1STF, 1PPN, 1STF
1TAB, 2PTN, 1TAB
1TGS, 2PTN, 1HPT
1UDI, 1UDH, 1UDI
1UGH, 1AKZ, 1UGI
2KAI, 2PKA, 6PTI
2PTC, 2PTN, 6PTI
2SIC, 1SUP, 3SSI
2SNI, 1SUP, 2CI2
2TEC, 1THM, 2TEC
4HTC, 2HNT, 4HTC
1AHW, 1FGN, 1BOY
1BQL, 1BQL, 1DKJ
1BVK, 1BVL, 3LZT
1DQJ, 1DQQ, 3LZT
1EO8, 1EO8, 2VIR
1FBI, 1FBI, 1HHL
1JHL, 1JHL, 1GHL
1MEL, 1MEL, 1LZA
1MLC, 1MLB, 1LZA
1NCA, 1NCA, 7NN9
1NMB, 1NMB, 7NN9
1WEJ, 1QBL, 1HRC
2JEL, 2JEL, 1POH
